batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc	keep_for_correction
batch2	WT_3	20600000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	NA	8.560941522	NA	NA	FALSE	TRUE
batch2	WT_5	55800000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	A	17.43624756	NA	NA	FALSE	TRUE
batch2	HO_10	4745359.407	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	B	10.61117992	NA	NA	FALSE	TRUE
batch2	HO_11	4150395.679	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	10.71117246	NA	NA	FALSE	TRUE
batch2	HO_12	8885157.71	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	A	792890.31	NA	NA	FALSE	TRUE
batch2	HO_9	3678445.226	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	305795.09	NA	NA	FALSE	TRUE
batch2	QC_0	3367774.627	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	4.293047328	NA	NA	TRUE	TRUE
batch2	QC_1	4841075.643	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	408195.94	NA	NA	TRUE	TRUE
batch2	QC_2	3434278.844	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	384438.81	NA	NA	TRUE	TRUE
batch2	QC_3	4194034.848	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	358903.81	NA	NA	TRUE	TRUE
batch2	WT_1	3710836.852	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	5.245420355	NA	NA	FALSE	TRUE
batch2	WT_2	1749982.016	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	140988.83	NA	NA	FALSE	TRUE
batch2	WT_3	1183072.206	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	1.227323732	NA	NA	FALSE	TRUE
batch2	WT_5	4341926.922	PS(18:3_22:6)	PS(18:3_22:6)-H	PS	828.4821105	NA	10.47461759	NA	NA	FALSE	TRUE
batch2	HO_10	11900000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	C	40.08488465	NA	NA	FALSE	TRUE
batch2	HO_11	28100000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	B	11.56208409	NA	NA	FALSE	TRUE
batch2	HO_12	33100000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	B	13.61950346	NA	NA	FALSE	TRUE
batch2	HO_9	15300000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	16.50683835	NA	NA	FALSE	TRUE
batch2	QC_0	23900000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	B	37.61751462	NA	NA	TRUE	TRUE
batch2	QC_1	22200000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	B	10.45367098	NA	NA	TRUE	TRUE
batch2	QC_2	19900000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	9.998668913	NA	NA	TRUE	TRUE
batch2	QC_3	19500000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	11.18908279	NA	NA	TRUE	TRUE
batch2	WT_1	15700000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	15.0661298	NA	NA	FALSE	TRUE
