batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	QC_1	2669348.971	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	0	NA	NA	TRUE
batch1	WT_1	12385620.15	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	3.3460509458403283	NA	NA	FALSE
batch1	WT_2	1737664.673	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	0	NA	NA	FALSE
batch1	WT_3	1410112.557	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	0	NA	NA	FALSE
batch1	WT_4	2636070.318	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	0	NA	NA	FALSE
batch1	HO_5	4841425.922	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	618419	NA	NA	FALSE
batch1	HO_6	6547265.412	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	887780.56	NA	NA	FALSE
batch1	HO_7	117100253.7	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	10.68422143201192	NA	NA	FALSE
batch1	HO_8	124182083.7	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	28.823751887622137	NA	NA	FALSE
batch1	QC_1	124868940.8	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	23.81215369331824	NA	NA	TRUE
batch1	WT_1	154940767.8	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	13.668493009942727	NA	NA	FALSE
batch1	WT_2	243099108.5	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	37.78069059811431	NA	NA	FALSE
batch1	WT_3	134898161.2	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	8.316295203299743	NA	NA	FALSE
batch1	WT_4	139501363	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	A	27.016194756351467	NA	NA	FALSE
batch1	HO_5	0	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	0	NA	NA	FALSE
batch1	HO_6	1838975.828	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	285292.38	NA	NA	FALSE
batch1	HO_7	59380385.75	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	12.415252710678152	NA	NA	FALSE
batch1	HO_8	86571339.62	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	18.75553349187069	NA	NA	FALSE
batch1	QC_1	84374804.28	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	16.640979884360394	NA	NA	TRUE
batch1	WT_1	127380943.4	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	A	27.47741489899515	NA	NA	FALSE
batch1	WT_2	171784126.5	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	32.427494688854615	NA	NA	FALSE
batch1	WT_3	124956128.9	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	B	5957709	NA	NA	FALSE
batch1	WT_4	119558932.7	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	A	38.78799349937439	NA	NA	FALSE
batch1	HO_5	705646.083	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	NA	154550.86	NA	NA	FALSE
batch1	HO_6	2379630.889	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	NA	438037.47	NA	NA	FALSE
