Class	global_sample_id	group	sum_intensity	mean_intensity	log2_mean_intensity
MLCL	batch3_HO_7	HO	567620533.2517117	43663117.94243937	25.379911819723134
MLCL	batch3_HO_8	HO	577271525.9512957	44405501.99625353	25.404235106799003
MLCL	batch3_QC_0	NA	604187470.2456067	46475959.24966206	25.469981306450432
MLCL	batch3_QC_1	NA	624830671.2518433	48063897.788603336	25.51845031418305
MLCL	batch3_QC_2	NA	602853510.4954494	46373346.961188436	25.466792520103485
MLCL	batch3_QC_3	NA	616876801.646056	47452061.665081225	25.499967434058032
MLCL	batch3_WT_1	WT	612802246.5285115	47138634.34834705	25.49040662713977
MLCL	batch3_WT_2	WT	609490049.6697974	46883849.9745998	25.482587709040047
MLCL	batch3_WT_3	WT	615975130.261158	47382702.32778139	25.497857144843607
MLCL	batch3_WT_4	WT	610610401.5573186	46970030.889024496	25.4852372065709
MLCL	batch4_HO_10	HO	2611242.6177948946	870414.2059316315	19.731342577281165
MLCL	batch4_HO_6	HO	4777298.120448063	1592432.7068160211	20.602800977540365
MLCL	batch4_HO_7	HO	1903853.7728066253	634617.9242688752	19.27552874402213
MLCL	batch4_QC_1	NA	2776438.5913152257	925479.5304384085	19.819841555661633
MLCL	batch4_QC_2	NA	3526276.9408803983	1175425.6469601328	20.164751851698274
MLCL	batch4_QC_3	NA	3219694.60555595	1073231.5351853166	20.033529920936566
MLCL	batch4_WT_1	WT	1287152.7899626514	429050.9299875505	18.71078938575318
MLCL	batch4_WT_3	WT	4118482.319276886	1372827.439758962	20.388718863820007
MLCL	batch4_WT_4	WT	3037943.671910434	1012647.8906368113	19.94970118893527
MLCL	batch4_WT_5	WT	1952176.5293207956	650725.5097735985	19.311689585881272
OAHFA	batch2_HO_10	HO	16134560.892345356	3226912.178469071	21.621722884239272
OAHFA	batch2_HO_11	HO	16435487.508477204	3287097.50169544	21.648382819514136
OAHFA	batch2_HO_12	HO	27703150.004435208	5540630.000887042	22.401618597490604
OAHFA	batch2_HO_9	HO	16907885.215633947	3381577.0431267894	21.68926479266129
OAHFA	batch2_QC_0	NA	30433830.35350582	6086766.070701163	22.537244489908577
OAHFA	batch2_QC_1	NA	33554282.923256278	6710856.584651255	22.67806549544522
OAHFA	batch2_QC_2	NA	34198170.96762085	6839634.19352417	22.705487736350587
OAHFA	batch2_QC_3	NA	41219794.99971389	8243958.999942779	22.974905899198326
OAHFA	batch2_WT_1	WT	26830888.557841424	5366177.711568285	22.355463402408322
OAHFA	batch2_WT_2	WT	91932345.74813586	18386469.14962717	24.13214112224315
OAHFA	batch2_WT_3	WT	63278323.83348199	12655664.7666964	23.59327995438862
OAHFA	batch2_WT_5	WT	32873618.40637425	6574723.68127485	22.64849883224168
OAHFA	batch3_HO_5	HO	3285169.108313138	1642584.554156569	20.64753620637045
OAHFA	batch3_HO_6	HO	3730507.7216081214	1865253.860804061	20.83094056377281
OAHFA	batch3_HO_7	HO	3527089.377394959	1763544.6886974794	20.750046703833334
OAHFA	batch3_HO_8	HO	3410311.384037948	1705155.692018974	20.701472042210185
OAHFA	batch3_QC_0	NA	3602887.857605258	1801443.928802629	20.78072231690022
OAHFA	batch3_QC_1	NA	3307764.3522349563	1653882.1761174782	20.65742502875215
OAHFA	batch3_QC_2	NA	3533373.9636053094	1766686.9818026547	20.752615017927276
OAHFA	batch3_QC_3	NA	3844679.215760136	1922339.607880068	20.874431799985807
OAHFA	batch3_WT_1	WT	4758550.883337118	2379275.441668559	21.182090867286544
OAHFA	batch3_WT_2	WT	3216142.010596701	1608071.0052983505	20.616899680276084
OAHFA	batch3_WT_3	WT	4038285.0984230447	2019142.5492115223	20.945311336250278
OAHFA	batch3_WT_4	WT	3468976.7110811286	1734488.3555405643	20.72607872447206
PA	batch1_HO_5	HO	1481694068.8859158	296338813.7771832	28.142672358656814
PA	batch1_HO_6	HO	933054540.6466224	186610908.12932447	27.475458078858384
PA	batch1_HO_7	HO	1075935437.043348	215187087.40866962	27.681016268729532
PA	batch1_HO_8	HO	1477641411.511986	295528282.3023972	28.138720963223957
PA	batch1_QC_1	NA	1077534362.144	215506872.4288	27.68315863612027
PA	batch1_WT_1	WT	974541698.3803796	194908339.6760759	27.53822058059215
PA	batch1_WT_2	WT	1491590724.3318138	298318144.86636275	28.15227648974754
PA	batch1_WT_3	WT	1394208310.7911992	278841662.1582399	28.054870891677595
PA	batch1_WT_4	WT	1121587813.512241	224317562.70244813	27.74096733820258
PA	batch2_HO_10	HO	172001031.33402926	28666838.555671543	24.772879473863473
PA	batch2_HO_11	HO	204515149.99811694	34085858.33301949	25.022669976936406
PA	batch2_HO_12	HO	184874050.70238182	30812341.783730306	24.87700499772116
PA	batch2_HO_9	HO	206917194.79180318	34486199.131967194	25.03951579632637
PA	batch2_QC_0	NA	200892417.57067376	33482069.595112294	24.996885370783357
PA	batch2_QC_1	NA	194492852.87174538	32415475.478624232	24.950179399111406
PA	batch2_QC_2	NA	200652656.2250515	33442109.370841917	24.99516251291256
PA	batch2_QC_3	NA	197223753.44564977	32870625.57427496	24.97029557740851
PA	batch2_WT_1	WT	211004641.20092425	35167440.200154044	25.06773699078852
PA	batch2_WT_2	WT	210362107.22399718	35060351.203999534	25.06333711204122
PA	batch2_WT_3	WT	208342199.21424964	34723699.86904161	25.049417341784675
PA	batch2_WT_5	WT	197647152.24555635	32941192.04092606	24.97338942693875
PA	batch3_HO_5	HO	1315258358.8061833	187894051.2580262	27.485344150729677
PA	batch3_HO_6	HO	1272313621.893006	181759088.841858	27.43745226684338
PA	batch3_HO_7	HO	1352439269.871769	193205609.98168126	27.52556174444882
