feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(74:2) | CL(74:2)-2H | 743.5414	CL(74:2)	CL(74:2)-2H	CL	743.541439	12	12	1	1	0.0175315045189369	TRUE	TRUE	TRUE	TRUE
CL(74:2) | CL(74:2)-H | 1488.0902	CL(74:2)	CL(74:2)-H	CL	1488.090155	12	12	1	1	33.17173091716559	TRUE	TRUE	TRUE	TRUE
CL(74:2)-2H | CL(74:2)-2H | 743.5414	CL(74:2)-2H	CL(74:2)-2H	CL	743.5414390299999	9	9	1	1	0.04265361626820178	TRUE	TRUE	TRUE	TRUE
CL(74:3)-H | CL(74:3)-H | 1486.0745	CL(74:3)-H	CL(74:3)-H	CL	1486.074505	9	9	1	1	0.02660614993369434	TRUE	TRUE	TRUE	TRUE
CL(74:5)-2H | CL(74:5)-2H | 740.5180	CL(74:5)-2H	CL(74:5)-2H	CL	740.5179640299999	9	9	1	1	0.01480809725639797	TRUE	TRUE	TRUE	TRUE
CL(74:7)-2H | CL(74:7)-2H | 738.5023	CL(74:7)-2H	CL(74:7)-2H	CL	738.5023140299999	9	9	1	1	0.19060202931562692	TRUE	TRUE	TRUE	TRUE
CL(74:9)-2H | CL(74:9)-2H | 736.4867	CL(74:9)-2H	CL(74:9)-2H	CL	736.4866640299999	9	9	1	1	0.6319700897838153	TRUE	TRUE	TRUE	TRUE
CL(75:2) | CL(75:2)-H | 1502.1058	CL(75:2)	CL(75:2)-H	CL	1502.105805	24	24	1	1	0.0674414546532274	TRUE	TRUE	TRUE	TRUE
CL(75:2)-H | CL(75:2)-H | 1502.1058	CL(75:2)-H	CL(75:2)-H	CL	1502.105805	9	9	1	1	0.19403822144238755	TRUE	TRUE	TRUE	TRUE
CL(75:3)-H | CL(75:3)-H | 1500.0902	CL(75:3)-H	CL(75:3)-H	CL	1500.090155	9	9	1	1	0.04900896026365636	TRUE	TRUE	TRUE	TRUE
CL(75:4) | CL(75:4)-H | 1498.0745	CL(75:4)	CL(75:4)-H	CL	1498.074505	12	12	1	1	0.01021533202852997	TRUE	TRUE	TRUE	TRUE
CL(75:5) | CL(75:5)-H | 1496.0589	CL(75:5)	CL(75:5)-H	CL	1496.058855	12	12	1	1	0.03844299218692258	TRUE	TRUE	TRUE	TRUE
CL(75:5)-H | CL(75:5)-H | 1496.0589	CL(75:5)-H	CL(75:5)-H	CL	1496.058855	9	9	1	1	0.01315686696270155	TRUE	TRUE	TRUE	TRUE
CL(75:6) | CL(75:6)-H | 1494.0432	CL(75:6)	CL(75:6)-H	CL	1494.043205	24	24	1	1	1.09824894829724	TRUE	TRUE	TRUE	TRUE
CL(75:6)-H | CL(75:6)-H | 1494.0432	CL(75:6)-H	CL(75:6)-H	CL	1494.043205	9	9	1	1	0.05263245100083082	TRUE	TRUE	TRUE	TRUE
CL(76:4) | CL(76:4)-H | 1512.0902	CL(76:4)	CL(76:4)-H	CL	1512.090155	12	12	1	1	0.2473157308944905	TRUE	TRUE	TRUE	TRUE
CL(76:4)-H | CL(76:4)-H | 1512.0902	CL(76:4)-H	CL(76:4)-H	CL	1512.090155	9	9	1	1	0.06870291150164043	TRUE	TRUE	TRUE	TRUE
CL(76:7)-2H | CL(76:7)-2H | 752.5180	CL(76:7)-2H	CL(76:7)-2H	CL	752.5179640299999	9	9	1	1	0.30491079258159093	TRUE	TRUE	TRUE	TRUE
CL(76:9) | CL(76:9)-H | 1502.0119	CL(76:9)	CL(76:9)-H	CL	1502.011905	12	12	1	1	0.02313797871067092	TRUE	TRUE	TRUE	TRUE
CL(77:1) | CL(77:1)-H | 1532.1528	CL(77:1)	CL(77:1)-H	CL	1532.152755	24	24	1	1	0.02830682734203798	TRUE	TRUE	TRUE	TRUE
CL(77:2) | CL(77:2)-2H | 764.5649	CL(77:2)	CL(77:2)-2H	CL	764.564914	12	12	1	1	0.22977198116696337	TRUE	TRUE	TRUE	TRUE
CL(77:2) | CL(77:2)-H | 1530.1371	CL(77:2)	CL(77:2)-H	CL	1530.137105	12	12	1	1	0.01454131461780473	TRUE	TRUE	TRUE	TRUE
CL(77:3) | CL(77:3)-H | 1528.1215	CL(77:3)	CL(77:3)-H	CL	1528.121455	24	24	1	1	0.02435769579116811	TRUE	TRUE	TRUE	TRUE
