batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	HO_6	3654932416	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	4993.9386285893615	NA	NA	FALSE
batch1	HO_5	4284808246	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	83.96438258379446	NA	NA	FALSE
batch1	QC_1	10771953187	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	106.0910693470697	NA	NA	TRUE
batch1	WT_4	11246736188	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	86.73462424265013	NA	NA	FALSE
batch1	WT_3	11865196082	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	581.8696668021388	NA	NA	FALSE
batch1	WT_2	11477092327	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	106.22079666797435	NA	NA	FALSE
batch1	WT_1	11687330368	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	86.86785216527538	NA	NA	FALSE
batch1	HO_8	10609782952	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	B	83.18236622790893	NA	NA	FALSE
batch1	HO_7	9168425752	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	78.01289619296277	NA	NA	FALSE
batch1	HO_6	8744187891	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	76.14628517639632	NA	NA	FALSE
batch1	HO_5	9819270231	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	NA	114.0555262193496	NA	NA	FALSE
batch1	QC_1	257665470.3	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	0.6486239401674548	NA	NA	TRUE
batch1	WT_4	206209371.4	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	3.043200883786109	NA	NA	FALSE
batch1	WT_3	264805137.6	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	4.648962189887034	NA	NA	FALSE
batch1	WT_2	237660514	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	3.4075568998447285	NA	NA	FALSE
batch1	WT_1	261200345.4	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	3.4271882930166693	NA	NA	FALSE
batch1	HO_8	205471842.2	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	B	3.760025093055372	NA	NA	FALSE
batch1	HO_7	247499601	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	5.256811125819655	NA	NA	FALSE
